VENDOR_NAME,REGION,CITY,CITY_CODE,PROJECT_NAME,PROJECT_ID,RESIDENCE_NAME,CLUSTER_NAME,CLUSTER_CODE,PREFIX_ADDRESS,STREET_NAME,HOUSE_NUMBER,BLOCK,FLOOR,RT,RW,DISTRICT,SUB_DISTRICT,ZIP_CODE,HOMEPASS STATUS ALL OPERATOR,SAMPLE RESULT - FIXED BROADBAND,SAMPLE RESULT - MOBILE CONNECTION,MOBILE DATA CONSUMPTION,USER MOVEMENT TO OTHER OPERATOR - FIXED BB,NUMBER OF DEVICE
FIBERHOME,BANTEN,TANGERANG SELATAN,TGRS,KAV DKI MERUYA RW.10 EXTENSION,-,KAV DKI MERUYA,KAV DKI MERUYA,DKI10,JL.,PENYELESAIAN TOMANG III,21,47,-,-,10,KEMBANGAN,MERUYA UTARA,11620,,,,,,
FIBERHOME,BANTEN,TANGERANG SELATAN,TGRS,KAV DKI MERUYA RW.10 EXTENSION,-,KAV DKI MERUYA,KAV DKI MERUYA,DKI10,JL.,PENYELESAIAN TOMANG III,22,47,-,-,10,KEMBANGAN,MERUYA UTARA,11620,,,,,,
FIBERHOME,BANTEN,TANGERANG SELATAN,TGRS,KAV DKI MERUYA RW.10 EXTENSION,-,KAV DKI MERUYA,KAV DKI MERUYA,DKI10,JL.,PENYELESAIAN TOMANG III,23,47,-,-,10,KEMBANGAN,MERUYA UTARA,11620,,,,,,
FIBERHOME,BANTEN,TANGERANG SELATAN,TGRS,KAV DKI MERUYA RW.10 EXTENSION,-,KAV DKI MERUYA,KAV DKI MERUYA,DKI10,JL.,PENYELESAIAN TOMANG III,23A,47,-,-,10,KEMBANGAN,MERUYA UTARA,11620,,,,,,
FIBERHOME,BANTEN,TANGERANG SELATAN,TGRS,KAV DKI MERUYA RW.10 EXTENSION,-,KAV DKI MERUYA,KAV DKI MERUYA,DKI10,JL.,PENYELESAIAN TOMANG III,24,47,-,-,10,KEMBANGAN,MERUYA UTARA,11620,,,,,,
FIBERHOME,BANTEN,TANGERANG SELATAN,TGRS,KAV DKI MERUYA RW.10 EXTENSION,-,KAV DKI MERUYA,KAV DKI MERUYA,DKI10,JL.,TERATAI I,11,50,-,-,10,KEMBANGAN,MERUYA UTARA,11620,,,,,,
FIBERHOME,BANTEN,TANGERANG SELATAN,TGRS,KAV DKI MERUYA RW.10 EXTENSION,-,KAV DKI MERUYA,KAV DKI MERUYA,DKI10,JL.,TERATAI I,13,50,-,-,10,KEMBANGAN,MERUYA UTARA,11620,,,,,,
FIBERHOME,BANTEN,TANGERANG SELATAN,TGRS,KAV DKI MERUYA RW.10 EXTENSION,-,KAV DKI MERUYA,KAV DKI MERUYA,DKI10,JL.,TERATAI I,16,50,-,-,10,KEMBANGAN,MERUYA UTARA,11620,,,,,,
FIBERHOME,BANTEN,TANGERANG SELATAN,TGRS,KAV DKI MERUYA RW.10 EXTENSION,-,KAV DKI MERUYA,KAV DKI MERUYA,DKI10,JL.,TERATAI I,12,51,-,-,10,KEMBANGAN,MERUYA UTARA,11620,,,,,,
FIBERHOME,BANTEN,TANGERANG SELATAN,TGRS,KAV DKI MERUYA RW.10 EXTENSION,-,KAV DKI MERUYA,KAV DKI MERUYA,DKI10,JL.,TERATAI I,13,51,-,-,10,KEMBANGAN,MERUYA UTARA,11620,,,,,,
