VENDOR_NAME,REGION,CITY,CITY_CODE,PROJECT_NAME,PROJECT_ID,RESIDENCE_NAME,CLUSTER_NAME,CLUSTER_CODE,PREFIX_ADDRESS,STREET_NAME,HOUSE_NUMBER,BLOCK,FLOOR,RT,RW,DISTRICT,SUB_DISTRICT,ZIP_CODE,HOMEPASS STATUS ALL OPERATOR,SAMPLE RESULT - FIXED BROADBAND,SAMPLE RESULT - MOBILE CONNECTION,MOBILE DATA CONSUMPTION,USER MOVEMENT TO OTHER OPERATOR - FIXED BB,NUMBER OF DEVICE
ALITA,BALI,DENPASAR,DPS,BANJAR KAJA FDT 01,-,-,BANJAR KAJA,BKJ,JL.,TUKAD YEH PENET,4B,-,-,-,-,DENPASAR SELATAN,RENON,80239,,,,,,
ALITA,BALI,DENPASAR,DPS,BANJAR KAJA FDT 01,-,-,BANJAR KAJA,BKJ,JL.,-,3,-,-,-,-,DENPASAR SELATAN,RENON,80239,,,,,,
ALITA,BALI,DENPASAR,DPS,BANJAR KAJA FDT 01,-,-,BANJAR KAJA,BKJ,JL.,-,3A,-,-,-,-,DENPASAR SELATAN,RENON,80239,,,,,,
ALITA,BALI,DENPASAR,DPS,BANJAR KAJA FDT 01,-,-,BANJAR KAJA,BKJ,JL.,TUKAD YEH PENET,5,-,-,-,-,DENPASAR SELATAN,RENON,80239,,,,,,
ALITA,BALI,DENPASAR,DPS,BANJAR KAJA FDT 01,-,-,BANJAR KAJA,BKJ,JL.,TUKAD YEH PENET,6,-,-,-,-,DENPASAR SELATAN,RENON,80239,,,,,,
ALITA,BALI,DENPASAR,DPS,BANJAR KAJA FDT 01,-,-,BANJAR KAJA,BKJ,GG.,TV,1,-,-,-,-,DENPASAR SELATAN,RENON,80239,,,,,,
ALITA,BALI,DENPASAR,DPS,BANJAR KAJA FDT 01,-,-,BANJAR KAJA,BKJ,GG.,TV,3,-,-,-,-,DENPASAR SELATAN,RENON,80239,,,,,,
ALITA,BALI,DENPASAR,DPS,BANJAR KAJA FDT 01,-,-,BANJAR KAJA,BKJ,GG.,TV,4,-,-,-,-,DENPASAR SELATAN,RENON,80239,,,,,,
ALITA,BALI,DENPASAR,DPS,BANJAR KAJA FDT 01,-,-,BANJAR KAJA,BKJ,GG.,TV,5,-,-,-,-,DENPASAR SELATAN,RENON,80239,,,,,,
ALITA,BALI,DENPASAR,DPS,BANJAR KAJA FDT 01,-,-,BANJAR KAJA,BKJ,GG.,TV,6,-,-,-,-,DENPASAR SELATAN,RENON,80239,,,,,,
ALITA,BALI,DENPASAR,DPS,BANJAR KAJA FDT 01,-,-,BANJAR KAJA,BKJ,GG.,TV,7,-,-,-,-,DENPASAR SELATAN,RENON,80239,,,,,,
ALITA,BALI,DENPASAR,DPS,BANJAR KAJA FDT 01,-,-,BANJAR KAJA,BKJ,JL.,TUKAD YEH PENET,7,-,-,-,-,DENPASAR SELATAN,RENON,80239,,,,,,
ALITA,BALI,DENPASAR,DPS,BANJAR KAJA FDT 01,-,-,BANJAR KAJA,BKJ,JL.,TUKAD YEH PENET,9,-,-,-,-,DENPASAR SELATAN,RENON,80239,,,,,,
ALITA,BALI,DENPASAR,DPS,BANJAR KAJA FDT 01,-,-,BANJAR KAJA,BKJ,JL.,TUKAD YEH PENET,?-1,-,-,-,-,DENPASAR SELATAN,RENON,80239,,,,,,
ALITA,BALI,DENPASAR,DPS,BANJAR KAJA FDT 01,-,-,BANJAR KAJA,BKJ,JL.,TUKAD YEH PENET,?-2,-,-,-,-,DENPASAR SELATAN,RENON,80239,,,,,,
ALITA,BALI,DENPASAR,DPS,BANJAR KAJA FDT 01,-,-,BANJAR KAJA,BKJ,JL.,KOMP. ANGGARAN,5A,-,-,-,-,DENPASAR SELATAN,RENON,80239,,,,,,
ALITA,BALI,DENPASAR,DPS,BANJAR KAJA FDT 01,-,-,BANJAR KAJA,BKJ,JL.,KOMP. ANGGARAN,2,-,-,-,-,DENPASAR SELATAN,RENON,80239,,,,,,
ALITA,BALI,DENPASAR,DPS,BANJAR KAJA FDT 01,-,-,BANJAR KAJA,BKJ,JL.,KOMP. ANGGARAN,4,-,-,-,-,DENPASAR SELATAN,RENON,80239,,,,,,
ALITA,BALI,DENPASAR,DPS,BANJAR KAJA FDT 01,-,-,BANJAR KAJA,BKJ,JL.,KOMP. ANGGARAN,6,-,-,-,-,DENPASAR SELATAN,RENON,80239,,,,,,
